id,value
id_0,6.509826026315999
id_1,18.185696272464554
id_2,24.460803521936825
id_3,7.675754443796308
id_4,27.133897217141993
id_5,22.085931508800556
id_6,23.65359422745005
id_7,30.769563303316307
id_8,16.88925351925642
id_9,59.53663513450062
id_10,11.735415810888993
id_11,9.344076655441267
id_12,63.26246929704989
id_13,53.265485412635094
id_14,22.043033604808812
id_15,12.245693093022595
id_16,32.36923899062708
id_17,66.65342111476401
id_18,-0.5011471780291146
id_19,17.124929191448203
id_20,41.90591206117693
id_21,72.35074990612358
id_22,9.224779714915101
id_23,17.97879852599028
id_24,14.695793115192782
id_25,38.30355936948405
id_26,14.928732542273908
id_27,62.09270241525627
id_28,7.2193247610942315
id_29,55.561703465588224
id_30,24.441290714168886
id_31,8.692736559879577
id_32,2.568450533647905
id_33,18.6467939045066
id_34,27.592140147967584
id_35,37.274928359515194
id_36,43.339103835888594
id_37,29.63474805918761
id_38,41.85200366121727
id_39,35.424894947592655
id_40,7.775989793077478
id_41,41.15285922623653
id_42,30.425101569223674
id_43,51.09306512928646
id_44,17.456520641739466
id_45,35.47182953653555
id_46,24.644588218445524
id_47,9.699022777635388
id_48,26.598206149979347
id_49,32.30609656640583
id_50,20.28971715727349
id_51,7.855569186616528
id_52,20.42497031552345
id_53,52.573152665565175
id_54,15.896268009543073
id_55,36.19966109077606
id_56,33.11188784043432
id_57,20.70132081932515
id_58,57.337376584350665
id_59,22.762051620394246
id_60,14.306412924535898
id_61,41.82349729357294
id_62,12.776639106018429
id_63,48.54773820460946
id_64,14.201196678339453
id_65,14.985167606749227
id_66,14.51269602915245
id_67,-0.9913367340798445
id_68,43.82947283785338
id_69,29.05060062543732
id_70,20.363691913860833
id_71,41.68030863408099
id_72,60.348844704143296
id_73,5.582624718762222
id_74,16.46084751007035
id_75,3.3689988367829926
id_76,40.30431316757269
id_77,14.256385995650836
id_78,21.684029674460664
id_79,21.004372901842878
id_80,23.873302503183645
id_81,36.101838593271
id_82,21.800910055741504
id_83,92.51449774378722
id_84,37.31292677855429
id_85,27.972000888189392
id_86,22.011483695225845
id_87,33.51922084641792
id_88,23.322130063845904
id_89,19.764289681538408
id_90,28.622418313364314
id_91,41.4301086628798
id_92,4.875610427960503
id_93,38.44242173118945
id_94,45.76804937093112
id_95,16.516621361459883
id_96,31.475072772806374
id_97,13.007568804799032
id_98,23.221020801921988
id_99,4.586929439804482
id_100,18.211914204860314
id_101,26.4270189429966
id_102,14.09678870891484
id_103,15.911325584054065
id_104,23.946659625154066
id_105,39.79380600999667
id_106,31.436525332373186
id_107,6.109130263573775
id_108,6.094491908720169
id_109,78.57296549556472
id_110,48.13533683260792
id_111,17.185462266047914
id_112,27.612540630325334
id_113,15.130615507374863
id_114,13.75170782552945
id_115,24.908712350799036
id_116,26.647626102353307
id_117,10.487126887848838
id_118,18.470592533377307
id_119,19.627957907866318
id_120,80.49724594289287
id_121,25.442215870928965
id_122,37.2666026675187
id_123,25.57883084878955
id_124,7.424317185886869
id_125,38.85530938558603
id_126,9.25324220289346
id_127,21.889292121573714
id_128,29.1997336364897
id_129,62.89203177737123
id_130,21.995208366272102
id_131,23.49595602141273
id_132,58.998504875976124
id_133,15.190924216322031
id_134,14.121155812171233
id_135,2.6184703700675307
id_136,12.570623343405845
id_137,58.68786891182019
id_138,20.466717230658542
id_139,5.385162284716607
id_140,29.0055835512105
id_141,25.326059579286593
id_142,45.30940470804752
id_143,30.783937603932138
id_144,18.317954485288503
id_145,26.019422951233416
id_146,12.010031768226398
id_147,52.013221543362974
id_148,23.34884785005396
id_149,38.644471369753525
id_150,10.128871617406524
id_151,8.191982703697505
id_152,23.268573504902005
id_153,6.385412959903782
id_154,14.959446381483353
id_155,40.97828368343665
id_156,7.790594129133257
id_157,36.157142903069506
id_158,11.178416757201582
id_159,19.196028091360407
id_160,41.625363851654
id_161,19.35179370293409
id_162,13.27973598264419
id_163,8.198439313714658
id_164,52.68481633445954
id_165,31.26698476491003
